date,youtube_subs,youtube_views_total,youtube_videos_total,youtube_views_scraped,instagram_followers,instagram_posts,instagram_engagement_rate,tiktok_followers,tiktok_likes,tiktok_videos,tiktok_views
2026-06-09,18,13231,22,45,131,,,141,3257,427,25
2026-06-08,18,13231,22,45,131,,,141,3257,427,25
2026-06-07,18,13231,22,45,131,,,141,3257,427,25
2026-06-06,18,13231,22,45,131,,,141,3257,427,25
2026-06-05,18,13231,22,45,131,,,141,3257,427,25
2026-06-04,18,13231,22,45,131,,,141,3257,427,25
2026-06-03,18,13231,22,45,131,,,141,3257,427,25
2026-06-02,18,13231,22,45,131,,,141,3257,427,25
2026-06-01,18,13231,22,45,131,,,141,3257,427,25
2026-05-31,18,13231,22,45,131,,,141,3257,427,25
2026-05-30,18,13231,22,45,131,,,141,3257,427,25
2026-05-29,18,13231,22,45,131,,,141,3257,427,25
2026-05-28,18,13231,22,45,131,,,141,3257,427,25
2026-05-27,18,13231,22,45,131,,,141,3257,427,25
2026-05-26,18,13231,22,45,131,,,141,3257,427,25
2026-05-25,18,13231,22,45,131,,,141,3257,427,25
2026-05-24,18,13231,22,45,131,,,141,3257,427,25
2026-05-23,18,13231,22,45,131,,,141,3257,427,25
2026-05-22,18,13231,22,45,131,,,141,3257,427,25
2026-05-21,18,13231,22,45,131,,,141,3257,427,25
2026-05-20,18,13231,22,45,131,,,141,3257,427,25
2026-05-19,18,13231,22,45,131,,,141,3257,427,25
2026-05-18,18,13231,22,45,131,,,141,3257,427,25
2026-05-17,18,13231,22,45,131,,,141,3257,427,25
2026-05-16,18,13231,22,45,131,,,141,3257,427,25
2026-05-15,18,13231,22,45,131,,,141,3257,427,25
2026-05-14,18,13231,22,45,131,,,141,3257,427,25
2026-05-13,18,13231,22,45,131,,,141,3257,427,25
